iter	RMSE
0	0.9920107138
1	0.9702936115
2	0.9500153711
3	0.9312766338
4	0.9135644751
5	0.8976757254
6	0.8831033844
7	0.8689287781
8	0.8555156458
9	0.8433458581
10	0.8324649259
11	0.8218724237
12	0.8119748042
13	0.8025407287
14	0.7940140173
15	0.7860868608
16	0.7783394526
17	0.7705734149
18	0.7638828168
19	0.7578615753
20	0.7526627975
21	0.7472357062
22	0.7423791864
23	0.7380149811
24	0.7336028707
25	0.7297306172
26	0.726122647
27	0.7226149517
28	0.7192627859
29	0.7163613605
30	0.7127927869
31	0.709721233
32	0.70729064
33	0.7049466655
34	0.702177154
35	0.7000852381
36	0.6980273508
37	0.6960309508
38	0.6942214079
39	0.6920553781
40	0.6902672463
41	0.6886502429
42	0.6872995725
43	0.6857838494
44	0.684067069
45	0.6825839941
46	0.6812699313
47	0.679986734
48	0.6783588526
49	0.6771728846
50	0.6759947223
51	0.6748809406
52	0.673798019
53	0.6724452213
54	0.6715800264
55	0.6706836005
56	0.6699712342
57	0.6686972012
58	0.668007943
59	0.6669742549
60	0.6662344212
61	0.6653904432
62	0.6644255895
63	0.6637844037
64	0.6632262716
65	0.6624573855
66	0.6617141262
67	0.6606346709
68	0.6599711489
69	0.6595352746
70	0.6589718795
71	0.6584360028
72	0.6579476402
73	0.6570818032
74	0.6561807244
75	0.6557116325
76	0.6551509069
77	0.654728459
78	0.654097018
79	0.6536982249
80	0.652833271
81	0.652285922
82	0.6517829473
83	0.6512600338
84	0.6504652958
85	0.6497143968
86	0.6493803824
87	0.6489521139
88	0.6484025363
89	0.6480734416
90	0.6474123041
91	0.6469235156
92	0.6463724618
93	0.6458017748
94	0.6454363097
95	0.6450520528
96	0.6446757795
97	0.6442930806
98	0.6438829355
99	0.6434384407
100	0.643013487
101	0.6423577903
102	0.6418647543
103	0.6413505841
104	0.6410051866
105	0.6405662614
106	0.640427485
107	0.6399910113
108	0.6395478738
109	0.6391178553
110	0.6386866821
111	0.6384340592
112	0.6381700065
113	0.6378604019
114	0.6373926453
115	0.636954071
116	0.6363263506
117	0.6359925306
118	0.6355574193
119	0.6352828516
120	0.6348432027
121	0.6342297145
122	0.6338035558
123	0.6332936351
124	0.6328403833
125	0.6325004427
126	0.6319189962
127	0.6316114365
128	0.6314179548
129	0.631244533
130	0.6308139436
131	0.6306785963
132	0.6304091593
133	0.6302015374
134	0.6296528124
135	0.6293633414
136	0.6289364432
137	0.6286851286
138	0.6283554358
139	0.6280680529
140	0.6278425482
141	0.6275603608
142	0.6272975992
143	0.6267607998
144	0.626564928
145	0.6262963296
146	0.6260877291
147	0.6259311128
148	0.625764745
149	0.625601096
