iter	Passed	Remaining
0	144	21597
1	147	10880
2	149	7315
3	151	5528
4	153	4460
5	156	3745
6	158	3236
7	160	2851
8	162	2552
9	165	2314
10	167	2117
11	169	1953
12	172	1813
13	174	1693
14	176	1589
15	178	1498
16	181	1416
17	183	1345
18	185	1281
19	188	1223
20	190	1170
21	192	1122
22	195	1077
23	197	1035
24	199	997
25	201	962
26	204	929
27	206	898
28	208	869
29	210	842
30	213	817
31	215	793
32	217	771
33	219	750
34	222	729
35	224	710
36	226	691
37	228	674
38	231	657
39	233	641
40	235	625
41	237	611
42	239	596
43	241	582
44	244	569
45	246	557
46	248	544
47	250	533
48	253	521
49	255	510
50	257	500
51	259	489
52	262	479
53	264	469
54	266	460
55	268	450
56	270	442
57	273	433
58	275	425
59	277	416
60	280	409
61	282	401
62	285	393
63	287	386
64	289	378
65	292	371
66	294	364
67	296	357
68	298	350
69	301	344
70	303	337
71	305	331
72	307	324
73	310	318
74	312	312
75	314	306
76	316	300
77	318	294
78	321	288
79	323	283
80	326	278
81	328	272
82	331	267
83	333	262
84	336	257
85	338	252
86	341	247
87	343	242
88	345	237
89	348	232
90	350	227
91	352	222
92	355	217
93	357	212
94	359	208
95	361	203
96	364	199
97	366	194
98	368	189
99	371	185
100	373	181
101	375	176
102	377	172
103	380	168
104	382	163
105	384	159
106	387	155
107	389	151
108	391	147
109	394	143
110	396	139
111	398	135
112	401	131
113	403	127
114	405	123
115	408	119
116	410	115
117	412	111
118	414	108
119	417	104
120	419	100
121	421	96
122	423	93
123	426	89
124	428	85
125	430	82
126	433	78
127	435	74
128	437	71
129	440	67
130	442	64
131	444	60
132	446	57
133	449	53
134	451	50
135	453	46
136	455	43
137	458	39
138	460	36
139	462	33
140	465	29
141	467	26
142	469	22
143	471	19
144	474	16
145	476	13
146	478	9
147	480	6
148	483	3
149	485	0
