true_values,predicted_values,difference,Action/Adventure,Fantasy/Supernatural,Comedy,Drama/Romance,Science Fiction,Psychological/Thriller,Other/Uncategorized,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV
7.03,6.884589572010235,0.14541042798976545,1,0,1,0,0,0,0,False,False,False,False,True,False
5.63,5.697235876656068,0.0672358766560679,0,0,1,0,0,0,1,False,False,False,True,False,False
6.52,6.082084979055444,0.4379150209445557,1,0,0,0,1,0,0,False,False,False,True,False,False
6.5,7.1744176719797785,0.6744176719797785,0,0,0,1,0,0,1,False,False,False,True,False,False
6.36,6.293139326687674,0.06686067331232604,0,1,0,1,0,0,1,True,False,False,False,False,False
5.79,6.991926232657957,1.2019262326579572,1,0,1,0,1,0,0,False,False,False,True,False,False
6.56,5.76881796185494,0.7911820381450596,1,1,0,0,0,0,1,True,False,False,False,False,False
5.0,6.66808580301139,1.6680858030113903,0,0,0,1,0,0,1,False,False,False,True,False,False
7.74,7.15352736415178,0.58647263584822,1,0,0,1,1,0,0,False,False,False,True,False,False
6.42,5.922404422882454,0.4975955771175462,1,0,0,0,0,0,1,False,False,False,True,False,False
6.68,6.9095705975335555,0.2295705975335558,1,0,0,0,1,0,0,False,False,False,False,False,True
6.21,6.695565037671271,0.4855650376712708,0,0,1,1,0,0,0,False,False,False,True,False,False
6.3,6.392299368162555,0.09229936816255524,0,0,1,1,0,0,0,True,False,False,False,False,False
7.52,7.475259645805826,0.04474035419417355,1,0,1,0,0,0,0,True,False,False,False,False,False
6.89,6.704310354381108,0.18568964561889167,0,0,1,0,0,0,0,False,False,False,False,True,False
4.93,5.4103286045835555,0.48032860458355575,0,0,0,0,0,0,1,False,False,False,True,False,False
7.44,6.941241526323429,0.49875847367657133,0,0,1,0,0,0,0,False,False,False,False,True,False
6.62,6.047267135521778,0.5727328644782217,0,1,0,0,0,0,1,False,False,False,False,False,True
6.02,6.485688108020722,0.46568810802072225,0,0,1,1,0,0,0,False,False,False,False,True,False
6.62,7.09172937837323,0.4717293783732295,0,0,0,0,0,0,0,False,True,False,False,False,False
6.62,6.430265850392129,0.1897341496078715,0,0,1,0,0,0,0,False,False,False,False,False,True
5.3,5.276866322873737,0.02313367712626313,0,0,0,0,0,0,1,False,False,False,True,False,False
4.8,5.168065113827655,0.3680651138276554,0,1,0,0,0,0,0,False,False,True,False,False,False
6.8,6.83457661411356,0.03457661411356039,1,1,1,0,0,0,1,False,False,False,False,False,True
9.0,6.1336380453731865,2.8663619546268135,1,1,1,0,0,0,0,True,False,False,False,False,False
4.16,4.358011250252899,0.19801125025289856,0,0,0,0,0,0,1,True,False,False,False,False,False
7.82,7.504734006674002,0.3152659933259985,1,1,0,1,0,0,0,False,False,False,False,True,False
7.39,7.250557900490885,0.13944209950911457,1,0,1,0,1,0,0,False,False,False,False,False,True
5.41,5.836697603163209,0.42669760316320904,0,0,1,0,0,0,0,True,False,False,False,False,False
6.4,6.4950794119616635,0.09507941196166314,0,0,0,0,0,0,1,False,False,False,True,False,False
5.5,6.1584223620035585,0.6584223620035585,0,0,1,0,0,0,0,False,False,False,False,False,True
8.27,6.854885212958228,1.4151147870417713,0,0,1,0,0,0,0,False,False,False,False,False,True
7.59,7.486884124364449,0.10311587563555058,1,0,0,1,1,0,0,True,False,False,False,False,False
6.47,6.559838367989261,0.08983836798926159,0,0,1,0,0,0,0,False,False,False,False,False,True
8.49,7.881475641231795,0.6085243587682054,0,0,1,1,0,0,0,False,False,False,False,False,True
6.65,6.365546304526013,0.2844536954739869,0,0,1,0,0,0,0,False,False,False,False,False,True
7.2,6.426299491459109,0.773700508540891,0,1,1,0,0,0,0,False,False,False,True,False,False
6.44,6.112384355009377,0.32761564499062334,0,0,1,0,1,0,0,False,False,False,False,True,False
5.24,5.553075942001248,0.3130759420012481,0,0,1,0,0,0,1,True,False,False,False,False,False
