category,mean_deviation,count
=== mae_res ===,,
Action/Adventure,0.3681937046738266,869.0
Fantasy/Supernatural,0.40728355461598087,647.0
Comedy,0.43745948262932616,983.0
Drama/Romance,0.3669907510135254,596.0
Science Fiction,0.34813857263976666,459.0
Psychological/Thriller,0.47735493030644643,163.0
Other/Uncategorized,0.43621240778796977,655.0
type_Movie,0.5276822285716377,406.0
type_Music,0.4557141103698267,100.0
type_ONA,0.5380439993752079,120.0
type_OVA,0.43192528581430073,627.0
type_Special,0.4102340989423728,326.0
type_TV,0.3652229104986955,708.0
=== OUTLIERS ===,,
Action/Adventure,1.3531584111275874,47.0
Fantasy/Supernatural,1.478737257579036,55.0
Comedy,1.4653033420153345,86.0
Drama/Romance,1.6160654132430925,40.0
Science Fiction,1.371850930632225,22.0
Psychological/Thriller,1.5820574305618988,16.0
Other/Uncategorized,1.5404079563737068,59.0
type_Movie,1.5260423172553297,64.0
type_Music,1.200983133847741,9.0
type_ONA,1.4554434475463316,14.0
type_OVA,1.6078251233977268,48.0
type_Special,1.4335811027839114,24.0
type_TV,1.408099475577245,39.0
