true_values,predicted_values,difference,Action/Adventure,Fantasy/Supernatural,Comedy,Drama/Romance,Science Fiction,Psychological/Thriller,Other/Uncategorized,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV
5.79,6.832460392457408,1.042460392457408,1,0,1,0,1,0,0,False,False,False,True,False,False
5.0,6.865743982265048,1.8657439822650481,0,0,0,1,0,0,1,False,False,False,True,False,False
9.0,5.864739667837141,3.1352603321628587,1,1,1,0,0,0,0,True,False,False,False,False,False
8.27,6.720222240054869,1.5497777599451306,0,0,1,0,0,0,0,False,False,False,False,False,True
4.0,5.550169932604654,1.5501699326046543,0,0,0,0,0,0,1,False,False,False,True,False,False
4.65,6.853881937640733,2.203881937640733,0,0,1,0,0,0,1,False,False,False,True,False,False
8.0,6.267965693310749,1.7320343066892514,0,1,0,0,0,0,1,False,False,False,True,False,False
9.25,6.689547723397929,2.5604522766020708,0,0,0,1,0,0,1,False,False,False,True,False,False
4.95,6.59783786218754,1.64783786218754,1,1,0,0,0,1,0,True,False,False,False,False,False
6.78,5.633055460800791,1.1469445391992092,1,0,1,0,0,0,0,False,False,False,False,True,False
8.2,5.920937460909751,2.2790625390902486,0,0,1,0,0,0,0,True,False,False,False,False,False
4.49,5.6425099001335095,1.1525099001335093,1,0,0,0,0,0,1,True,False,False,False,False,False
4.92,6.586641253279945,1.6666412532799448,0,0,0,0,0,0,1,False,False,False,True,False,False
4.67,6.040770038804902,1.3707700388049018,1,1,0,0,0,0,0,False,False,False,False,False,True
7.11,6.108913028367597,1.001086971632403,0,0,1,0,1,0,0,False,False,False,False,True,False
3.91,6.178662414431537,2.268662414431537,0,1,0,0,0,0,0,False,False,False,False,False,True
4.39,5.800847269320292,1.4108472693202927,1,0,0,0,0,0,0,True,False,False,False,False,False
5.8,6.8576029178488875,1.0576029178488877,0,0,0,1,0,0,1,False,False,False,True,False,False
4.0,5.055114915339177,1.0551149153391766,1,0,0,0,0,0,0,True,False,False,False,False,False
3.11,5.374510793080287,2.264510793080287,0,0,1,0,0,0,0,False,False,False,False,True,False
3.59,4.81477721666084,1.22477721666084,0,0,0,0,0,1,0,True,False,False,False,False,False
7.33,6.18737106617864,1.14262893382136,0,0,1,0,0,0,1,False,False,False,False,False,True
5.99,4.635893576970764,1.3541064230292363,1,0,1,0,0,0,0,True,False,False,False,False,False
2.67,4.8186243604315,2.1486243604315005,0,0,0,0,0,0,0,False,False,True,False,False,False
4.6,5.913415546215313,1.313415546215313,1,0,0,0,0,0,0,True,False,False,False,False,False
3.5,4.769118492378097,1.2691184923780972,0,0,0,0,0,1,0,True,False,False,False,False,False
4.74,5.746954613651441,1.0069546136514411,1,0,0,0,0,0,1,True,False,False,False,False,False
8.33,6.891344876611693,1.4386551233883074,0,0,0,1,0,0,1,False,False,False,True,False,False
6.28,7.30921293996076,1.0292129399607601,1,1,1,0,0,0,0,True,False,False,False,False,False
4.35,5.820917253701607,1.4709172537016073,1,0,0,0,0,0,0,True,False,False,False,False,False
3.7,4.86707770869636,1.1670777086963602,0,0,0,0,0,0,0,False,True,False,False,False,False
6.3,4.793019403102148,1.5069805968978516,0,0,0,0,0,0,1,False,False,False,False,True,False
3.59,4.724260860672836,1.1342608606728364,0,0,1,0,0,0,0,False,False,True,False,False,False
4.0,5.701656420474783,1.7016564204747828,0,0,1,0,0,0,0,False,False,False,False,True,False
4.8,5.873534809352841,1.0735348093528412,0,0,0,0,0,0,1,False,False,False,False,False,True
6.61,5.444499741986848,1.165500258013152,0,0,0,0,0,0,1,False,False,False,True,False,False
8.0,5.786359784578697,2.213640215421303,0,0,1,0,0,0,0,False,False,False,True,False,False
7.5,6.462943040015066,1.037056959984934,0,0,1,0,0,0,1,False,False,False,True,False,False
3.53,5.039849454900124,1.5098494549001242,0,1,0,0,0,0,0,False,False,False,False,True,False
5.5,4.093998492232828,1.4060015077671721,0,0,0,0,0,1,0,True,False,False,False,False,False
6.04,4.633270410055323,1.4067295899446774,0,0,1,0,0,0,0,False,False,False,False,True,False
7.25,6.146435088812498,1.1035649111875019,0,0,1,0,0,0,0,False,False,False,False,True,False
5.8,6.846067712306808,1.046067712306808,1,1,0,0,0,0,0,False,False,False,False,False,True
5.61,7.010245858629426,1.4002458586294253,1,1,1,0,1,0,0,False,False,False,False,False,True
5.0,6.2095457047422595,1.2095457047422595,0,0,0,0,0,0,1,False,False,False,True,False,False
5.81,6.85451512242649,1.0445151224264908,1,1,0,0,1,0,0,False,False,False,False,False,True
4.22,6.9696214429917545,2.7496214429917547,0,0,0,1,0,0,0,True,False,False,False,False,False
4.24,5.559381566141935,1.319381566141935,1,0,0,0,0,0,0,False,False,False,True,False,False
4.78,6.332699667721648,1.5526996677216474,0,0,1,0,0,0,0,False,False,False,False,False,True
3.25,5.869961441790428,2.6199614417904282,0,0,0,0,1,0,1,False,False,False,True,False,False
8.64,7.523470417609762,1.1165295823902381,0,1,1,1,0,0,0,False,False,False,True,False,False
3.82,5.346640764994183,1.5266407649941836,1,0,1,0,1,0,0,False,False,True,False,False,False
5.45,4.17082623261981,1.2791737673801906,0,0,0,0,0,1,0,True,False,False,False,False,False
7.5,6.2798056628002685,1.2201943371997315,0,0,1,1,0,0,0,True,False,False,False,False,False
3.4,5.560617523652639,2.1606175236526393,0,0,1,0,0,0,0,False,False,False,False,False,True
4.54,6.221356809482227,1.681356809482227,0,0,1,0,0,0,1,False,False,False,False,False,True
6.14,4.65006745080885,1.48993254919115,0,0,0,0,0,0,0,False,True,False,False,False,False
4.67,6.90861590907889,2.2386159090788897,0,1,0,1,0,0,1,False,False,False,True,False,False
3.84,5.06675377052351,1.2267537705235103,0,0,0,0,0,0,0,False,False,True,False,False,False
8.33,5.837795476847331,2.492204523152669,0,1,1,0,0,0,1,False,False,False,True,False,False
8.4,5.806420352461827,2.5935796475381734,0,0,1,0,0,0,0,True,False,False,False,False,False
8.43,6.715390300563307,1.7146096994366928,1,1,0,0,0,0,0,False,False,False,False,False,True
7.04,5.878808185587438,1.161191814412562,0,1,0,0,0,0,1,False,False,False,True,False,False
7.33,6.053894587368375,1.2761054126316251,0,0,0,1,0,0,1,False,False,False,True,False,False
9.37,8.00456681736749,1.3654331826325095,0,1,0,1,0,0,0,True,False,False,False,False,False
8.33,6.759873337174707,1.5701266628252935,0,0,0,1,0,0,1,False,False,False,True,False,False
8.6,6.52833242237503,2.07166757762497,1,1,1,0,0,0,0,False,False,False,False,True,False
3.79,4.790403419348712,1.0004034193487117,0,0,0,0,0,1,0,True,False,False,False,False,False
5.0,6.032706587785526,1.0327065877855262,0,1,1,0,0,0,0,False,False,True,False,False,False
7.72,6.650703565668814,1.0692964343311857,0,0,0,1,1,0,0,False,False,False,True,False,False
9.33,6.442642369614077,2.8873576303859227,0,0,0,0,0,0,0,True,False,False,False,False,False
7.12,6.034327485875004,1.0856725141249965,0,0,0,1,0,0,0,False,False,False,True,False,False
3.49,6.017008495500249,2.527008495500249,0,0,0,1,0,0,1,False,False,False,True,False,False
7.5,5.642830516473426,1.8571694835265742,0,0,1,0,0,0,0,False,False,False,False,True,False
8.27,6.561539382749085,1.708460617250915,1,0,0,0,0,0,0,False,False,False,True,False,False
4.41,5.728895144025292,1.3188951440252916,0,0,1,0,0,0,0,True,False,False,False,False,False
7.5,5.532582431145439,1.967417568854561,0,0,1,0,0,0,0,True,False,False,False,False,False
7.67,6.63943395981265,1.0305660401873498,0,0,0,1,0,0,1,False,False,False,True,False,False
5.77,6.995846554381057,1.2258465543810573,1,0,1,1,0,0,0,False,False,False,False,True,False
6.78,5.712127627100039,1.067872372899961,0,0,1,0,0,0,0,False,False,False,True,False,False
3.82,6.8586617513050365,3.0386617513050367,0,1,0,0,0,1,0,False,False,False,False,False,True
6.79,5.663269981157982,1.126730018842018,0,0,1,0,0,0,0,False,False,False,False,False,True
3.78,5.659592401298965,1.8795924012989649,0,0,1,0,0,0,1,False,False,False,False,False,True
5.28,4.186911755246997,1.0930882447530035,0,0,0,0,0,1,0,True,False,False,False,False,False
3.57,4.774721700619352,1.2047217006193525,0,0,1,0,0,0,0,False,False,True,False,False,False
7.5,5.984457865969225,1.5155421340307749,0,0,1,0,0,0,1,False,False,False,False,False,True
7.05,5.893200911144253,1.1567990888557471,0,0,1,0,0,0,0,False,False,False,False,False,True
7.5,6.492191786048288,1.0078082139517122,0,1,1,0,0,0,0,False,False,False,False,False,True
7.5,6.17970737879528,1.32029262120472,0,0,0,1,0,0,0,False,False,False,False,True,False
8.0,6.834561362584807,1.1654386374151926,1,1,0,0,0,0,0,False,False,True,False,False,False
4.5,5.845271115724444,1.3452711157244437,0,0,1,0,0,0,0,False,False,False,False,False,True
9.17,8.045768112433413,1.1242318875665873,0,0,0,0,1,1,0,False,False,False,False,False,True
7.07,5.9743691731829145,1.0956308268170858,1,1,0,0,0,0,0,False,False,True,False,False,False
8.2,6.920619793466365,1.2793802065336344,0,1,1,0,1,0,0,False,False,False,False,True,False
5.06,6.234971388376233,1.1749713883762336,0,0,0,0,0,0,0,False,True,False,False,False,False
6.45,5.1093151307374125,1.3406848692625877,1,0,0,0,0,1,0,True,False,False,False,False,False
4.31,6.109112335651395,1.7991123356513956,0,1,0,0,0,0,1,False,False,False,True,False,False
5.15,6.210512277303261,1.0605122773032605,0,1,1,0,0,0,0,False,False,False,False,True,False
3.75,5.909688165465542,2.1596881654655418,0,0,0,0,1,0,0,True,False,False,False,False,False
5.0,6.133806340076728,1.1338063400767284,1,1,1,0,0,0,1,False,False,False,False,False,True
7.14,5.841471065078891,1.2985289349211087,1,0,1,0,0,0,0,False,False,False,True,False,False
7.55,6.433763784212082,1.116236215787918,0,0,1,0,0,0,0,False,False,False,False,True,False
4.58,5.948404830385074,1.3684048303850735,0,0,1,0,0,0,0,False,False,True,False,False,False
6.67,5.66776022926606,1.00223977073394,1,0,0,0,0,0,1,False,False,False,False,False,True
5.14,6.436255542148951,1.296255542148951,1,0,0,0,0,0,0,False,False,False,True,False,False
8.0,6.025115056639747,1.9748849433602533,0,0,0,1,0,0,0,True,False,False,False,False,False
4.83,5.836420597145018,1.0064205971450182,0,0,1,0,0,0,0,False,False,False,False,False,True
7.7,6.60125615804299,1.0987438419570106,0,0,0,1,1,0,0,False,False,False,True,False,False
4.38,5.590600045059053,1.2106000450590528,0,1,0,0,0,0,1,False,False,True,False,False,False
8.0,6.3454969643119545,1.6545030356880455,0,0,0,1,0,0,0,True,False,False,False,False,False
4.33,5.7879968200125615,1.4579968200125615,1,0,0,0,1,0,0,True,False,False,False,False,False
3.2,4.443894624907831,1.2438946249078304,0,0,1,0,0,0,0,True,False,False,False,False,False
7.2,5.923059605815134,1.2769403941848658,1,1,0,0,0,0,1,True,False,False,False,False,False
6.22,4.614411937933489,1.605588062066511,0,1,0,1,0,0,0,True,False,False,False,False,False
7.19,5.719578864488898,1.4704211355111028,0,1,0,1,1,0,0,False,False,False,True,False,False
5.1,6.269293176957822,1.1692931769578223,1,0,1,1,1,0,0,False,False,False,True,False,False
8.76,7.270548751007925,1.4894512489920748,0,1,1,1,0,0,0,False,False,False,False,False,True
3.74,5.53963922422783,1.79963922422783,0,1,1,0,0,1,0,False,False,True,False,False,False
7.8,6.362608636304708,1.4373913636952915,0,0,0,1,0,0,0,True,False,False,False,False,False
6.76,5.743423605523551,1.0165763944764485,0,0,0,0,0,0,1,True,False,False,False,False,False
7.59,5.456361700206374,2.133638299793626,0,0,0,0,0,1,0,True,False,False,False,False,False
3.65,4.740966582801647,1.0909665828016473,0,0,0,0,0,0,0,False,True,False,False,False,False
3.43,5.120376101476348,1.6903761014763474,0,0,0,0,0,0,1,False,True,False,False,False,False
4.79,6.125369773229344,1.3353697732293437,0,0,0,1,0,0,1,False,False,False,True,False,False
8.0,5.713310274076929,2.286689725923071,1,1,1,0,0,0,1,True,False,False,False,False,False
4.0,5.248069353635877,1.2480693536358771,0,0,0,0,0,0,0,False,False,False,False,False,True
5.67,6.789468726256996,1.1194687262569962,0,0,0,0,0,0,1,True,False,False,False,False,False
6.72,8.078653398290202,1.358653398290202,1,1,1,0,1,0,0,False,False,False,False,False,True
6.0,4.857375233069961,1.1426247669300391,0,0,0,0,0,0,1,False,True,False,False,False,False
4.75,5.771955975175637,1.0219559751756373,0,0,0,0,0,0,1,False,False,False,False,False,True
4.6,6.175771330249097,1.575771330249097,0,0,1,0,0,0,0,False,False,False,False,False,True
5.25,6.713557855821958,1.463557855821958,0,0,0,1,0,0,1,False,False,False,True,False,False
6.9,5.359888273902424,1.5401117260975763,0,0,1,0,0,0,0,False,False,False,False,False,True
4.36,5.604355932016659,1.244355932016659,0,0,1,0,0,0,0,True,False,False,False,False,False
7.67,6.007633683881733,1.6623663161182671,0,1,0,0,0,0,1,False,False,False,False,False,True
3.27,4.57091959486613,1.3009195948661296,0,0,0,0,1,0,0,False,False,True,False,False,False
5.29,6.375346115401155,1.0853461154011548,0,0,1,0,0,0,0,False,False,False,False,False,True
4.04,5.49849665876215,1.45849665876215,1,1,0,0,0,0,0,False,False,False,True,False,False
3.81,4.980769039811843,1.170769039811843,0,0,1,0,0,0,0,False,False,True,False,False,False
4.24,6.4073905732881,2.1673905732881,0,0,0,1,0,0,0,True,False,False,False,False,False
6.02,7.080862879249432,1.0608628792494326,0,0,1,0,1,0,0,False,False,False,False,False,True
4.78,5.796818270775546,1.0168182707755458,0,0,1,0,0,0,1,False,False,False,True,False,False
3.41,5.079881511671425,1.6698815116714245,0,0,0,0,0,1,0,True,False,False,False,False,False
6.89,5.865470116784559,1.0245298832154406,1,1,0,0,0,0,0,True,False,False,False,False,False
5.63,6.663310969563992,1.033310969563992,1,0,0,0,0,0,0,False,False,False,False,False,True
7.0,5.460603956462776,1.5393960435372236,0,0,1,0,0,0,0,False,False,False,False,False,True
4.5,6.973245660050216,2.4732456600502157,0,0,0,1,0,0,1,False,False,False,True,False,False
4.5,5.749250534776213,1.2492505347762126,0,0,1,0,0,0,0,True,False,False,False,False,False
6.86,5.676400948919481,1.1835990510805194,0,0,1,0,0,0,1,True,False,False,False,False,False
7.17,5.705223747076008,1.4647762529239916,0,0,1,0,0,0,0,True,False,False,False,False,False
5.11,6.22987647160977,1.1198764716097696,1,1,1,0,1,0,1,False,False,False,False,False,True
7.13,6.054653625220344,1.075346374779656,1,0,1,0,0,0,0,False,False,False,False,False,True
6.11,7.261385606029136,1.1513856060291356,1,1,1,0,0,1,0,False,False,False,False,False,True
6.92,5.825106897429452,1.0948931025705475,0,0,0,1,0,0,0,False,False,True,False,False,False
3.82,6.025297710402299,2.205297710402299,0,0,0,0,0,0,1,False,False,False,True,False,False
6.71,5.258697619950271,1.4513023800497287,0,0,1,0,0,0,0,True,False,False,False,False,False
4.2,6.126356573156667,1.9263565731566672,1,0,1,0,0,0,1,False,False,False,False,False,True
8.19,6.808832281371141,1.3811677186288582,0,0,1,0,0,0,0,False,False,False,True,False,False
4.15,5.564693941410228,1.4146939414102278,1,0,0,0,0,0,0,True,False,False,False,False,False
8.33,6.895188796417303,1.4348112035826972,0,1,0,1,0,0,1,False,False,False,True,False,False
4.17,5.659235909107212,1.4892359091072125,0,0,1,0,0,0,0,True,False,False,False,False,False
4.88,6.849731086243023,1.9697310862430228,1,1,1,0,1,0,0,True,False,False,False,False,False
4.5,6.031441441859556,1.531441441859556,0,1,0,0,0,0,1,True,False,False,False,False,False
4.5,7.538303627000667,3.0383036270006674,0,0,0,1,0,0,0,False,False,False,True,False,False
6.53,5.496263005605334,1.0337369943946664,0,0,1,0,0,0,1,False,False,False,True,False,False
6.9,5.826310683673713,1.0736893163262877,1,1,0,0,0,0,0,True,False,False,False,False,False
3.65,5.43018995471994,1.78018995471994,0,0,0,0,0,0,0,False,False,True,False,False,False
5.28,4.159969012490908,1.1200309875090921,0,0,0,0,0,1,0,False,False,True,False,False,False
3.43,5.2157414655590495,1.7857414655590493,0,0,1,0,0,0,0,False,False,True,False,False,False
8.0,6.316223222072628,1.6837767779273722,1,0,0,0,0,0,0,False,False,False,False,False,True
8.5,7.010515913315455,1.489484086684545,0,0,0,1,0,0,1,False,False,False,True,False,False
9.1,8.083146225400762,1.0168537745992374,1,0,1,0,1,0,0,True,False,False,False,False,False
5.5,6.686071347997894,1.1860713479978937,0,1,1,0,0,0,1,False,False,False,False,True,False
7.79,6.712717820734919,1.0772821792650813,0,0,1,1,0,0,0,True,False,False,False,False,False
4.79,5.851689997656603,1.061689997656603,1,0,1,0,0,0,0,False,False,False,False,True,False
5.03,6.256731925365639,1.2267319253656384,0,0,1,0,0,0,0,True,False,False,False,False,False
8.75,6.109159910751705,2.640840089248295,0,0,1,1,0,0,0,True,False,False,False,False,False
8.0,5.620325835999165,2.3796741640008348,0,0,0,0,0,1,1,False,False,False,True,False,False
5.05,6.135441011328714,1.0854410113287143,0,0,1,0,0,0,0,False,False,False,False,False,True
4.49,5.7600153844118385,1.2700153844118383,0,1,0,0,0,0,0,False,False,True,False,False,False
7.02,5.99187245999468,1.0281275400053191,0,0,1,0,0,0,0,True,False,False,False,False,False
5.0,6.473430866233159,1.4734308662331594,0,0,0,0,0,0,1,True,False,False,False,False,False
3.89,5.184713302019551,1.294713302019551,1,1,0,0,0,0,0,True,False,False,False,False,False
4.52,6.186009806336012,1.666009806336012,0,0,0,1,0,0,0,False,False,False,False,True,False
4.88,6.085339411687222,1.2053394116872225,0,1,0,0,0,0,0,True,False,False,False,False,False
7.9,5.948883293048228,1.9511167069517725,0,1,0,0,0,0,0,True,False,False,False,False,False
6.75,5.5738187324429616,1.1761812675570384,0,1,1,0,0,0,1,True,False,False,False,False,False
4.23,5.703670537052009,1.4736705370520085,0,0,1,0,0,0,0,False,False,False,False,True,False
6.83,5.357477063824438,1.4725229361755625,0,0,0,0,1,1,0,True,False,False,False,False,False
5.83,4.8218562620645145,1.0081437379354856,0,0,1,0,0,0,0,False,False,True,False,False,False
4.86,6.044110541245729,1.1841105412457287,0,0,1,0,0,0,1,False,False,False,False,False,True
7.3,4.988849731433865,2.311150268566135,0,1,1,0,0,0,0,True,False,False,False,False,False
8.67,6.620657661617183,2.049342338382817,0,0,0,1,0,0,1,False,False,False,True,False,False
3.0,4.952243069330523,1.9522430693305228,0,0,1,0,0,0,0,False,False,False,False,True,False
,,,1,0,1,0,0,0,0,False,False,False,False,True,False
,,,0,0,1,0,0,0,1,False,False,False,True,False,False
,,,1,0,0,0,1,0,0,False,False,False,True,False,False
,,,0,0,0,1,0,0,1,False,False,False,True,False,False
,,,0,1,0,1,0,0,1,True,False,False,False,False,False
,,,1,1,0,0,0,0,1,True,False,False,False,False,False
,,,1,0,0,1,1,0,0,False,False,False,True,False,False
,,,1,0,0,0,0,0,1,False,False,False,True,False,False
,,,1,0,0,0,1,0,0,False,False,False,False,False,True
,,,0,0,1,1,0,0,0,False,False,False,True,False,False
,,,0,0,1,1,0,0,0,True,False,False,False,False,False
,,,1,0,1,0,0,0,0,True,False,False,False,False,False
,,,0,0,1,0,0,0,0,False,False,False,False,True,False
,,,0,0,0,0,0,0,1,False,False,False,True,False,False
,,,0,0,1,0,0,0,0,False,False,False,False,True,False
,,,0,1,0,0,0,0,1,False,False,False,False,False,True
,,,0,0,1,1,0,0,0,False,False,False,False,True,False
,,,0,0,0,0,0,0,0,False,True,False,False,False,False
,,,0,0,1,0,0,0,0,False,False,False,False,False,True
,,,0,0,0,0,0,0,1,False,False,False,True,False,False
