true_values,predicted_values,difference,Action/Adventure,Fantasy/Supernatural,Comedy,Drama/Romance,Science Fiction,Psychological/Thriller,Other/Uncategorized,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV
5.79,6.991926232657957,1.2019262326579572,1,0,1,0,1,0,0,False,False,False,True,False,False
5.0,6.66808580301139,1.6680858030113903,0,0,0,1,0,0,1,False,False,False,True,False,False
9.0,6.1336380453731865,2.8663619546268135,1,1,1,0,0,0,0,True,False,False,False,False,False
8.27,6.854885212958228,1.4151147870417713,0,0,1,0,0,0,0,False,False,False,False,False,True
4.0,5.756009760012487,1.7560097600124873,0,0,0,0,0,0,1,False,False,False,True,False,False
4.65,6.84261570335609,2.19261570335609,0,0,1,0,0,0,1,False,False,False,True,False,False
8.0,6.198647683478119,1.8013523165218812,0,1,0,0,0,0,1,False,False,False,True,False,False
9.25,6.644931057971895,2.6050689420281046,0,0,0,1,0,0,1,False,False,False,True,False,False
4.95,6.5630940145532035,1.6130940145532033,1,1,0,0,0,1,0,True,False,False,False,False,False
6.78,5.621126753293421,1.1588732467065794,1,0,1,0,0,0,0,False,False,False,False,True,False
8.2,5.923987779297158,2.2760122207028415,0,0,1,0,0,0,0,True,False,False,False,False,False
5.29,6.332969884654401,1.0429698846544007,0,1,1,0,0,0,0,False,False,False,False,False,True
6.75,5.738028000736307,1.011971999263693,0,0,0,0,0,0,0,True,False,False,False,False,False
8.31,7.306525538298309,1.0034744617016917,0,0,1,1,0,0,0,False,False,False,True,False,False
4.49,5.765748229449216,1.2757482294492162,1,0,0,0,0,0,1,True,False,False,False,False,False
4.92,6.5599378746387025,1.6399378746387026,0,0,0,0,0,0,1,False,False,False,True,False,False
4.67,5.913685644396009,1.2436856443960087,1,1,0,0,0,0,0,False,False,False,False,False,True
7.11,5.884713942131004,1.2252860578689964,0,0,1,0,1,0,0,False,False,False,False,True,False
3.91,6.222522065077924,2.312522065077924,0,1,0,0,0,0,0,False,False,False,False,False,True
4.39,5.7449064839094115,1.3549064839094118,1,0,0,0,0,0,0,True,False,False,False,False,False
5.8,6.91659427360578,1.11659427360578,0,0,0,1,0,0,1,False,False,False,True,False,False
4.0,5.049998466189432,1.0499984661894324,1,0,0,0,0,0,0,True,False,False,False,False,False
3.11,5.556345324310166,2.446345324310166,0,0,1,0,0,0,0,False,False,False,False,True,False
3.59,4.82994593196022,1.2399459319602197,0,0,0,0,0,1,0,True,False,False,False,False,False
5.99,4.787097861153466,1.2029021388465342,1,0,1,0,0,0,0,True,False,False,False,False,False
2.67,5.062823026560345,2.392823026560345,0,0,0,0,0,0,0,False,False,True,False,False,False
5.7,4.59018485078813,1.1098151492118697,0,0,1,0,0,0,0,False,False,False,False,True,False
