iter	RMSE
0	11131.503
1	10262.12961
2	9508.229725
3	8821.636494
4	8220.605954
5	7760.280997
6	7297.219134
7	6888.987776
8	6526.072619
9	6218.049716
10	5946.840874
11	5720.045028
12	5526.340507
13	5360.105728
14	5233.781948
15	5110.663742
16	5003.849946
17	4912.068801
18	4836.488252
19	4771.386401
20	4717.94666
21	4665.398034
22	4624.923826
23	4590.08205
24	4559.268288
25	4535.796635
26	4513.150087
27	4491.726151
28	4473.468516
29	4460.927409
30	4446.272608
31	4434.388055
32	4423.479124
33	4413.817033
34	4405.858253
35	4397.103939
36	4388.557245
37	4380.510355
38	4376.014003
39	4370.314384
40	4368.171011
41	4363.964544
42	4362.824582
43	4359.931591
44	4355.049627
45	4352.156332
46	4350.528817
47	4348.770567
48	4343.460939
49	4340.79695
50	4339.446542
51	4336.352321
52	4334.695766
53	4331.474724
54	4330.410921
55	4327.765024
56	4326.524876
57	4325.872811
58	4324.741501
59	4324.613724
60	4322.64394
61	4320.888662
62	4318.922043
63	4315.69544
64	4313.434041
65	4312.247385
66	4310.898732
67	4309.774815
68	4305.36854
69	4303.150656
70	4299.105491
71	4294.527019
72	4293.307073
73	4291.766995
74	4289.597016
75	4288.187343
76	4287.16245
77	4285.244354
78	4284.16507
79	4281.507163
80	4279.210084
81	4276.374335
82	4272.269404
83	4270.435009
84	4269.464015
85	4267.662377
86	4265.635868
87	4263.258845
88	4261.755491
89	4258.126265
90	4255.100571
91	4253.224256
92	4251.709231
93	4250.638833
94	4247.62215
95	4246.501609
96	4244.934361
97	4241.983697
98	4241.166179
99	4235.684834
