iter	Passed	Remaining
0	142	14113
1	143	7028
2	144	4662
3	144	3477
4	145	2767
5	146	2292
6	146	1952
7	147	1698
8	148	1500
9	149	1341
10	149	1212
11	150	1104
12	151	1012
13	152	933
14	152	865
15	153	805
16	154	753
17	155	706
18	156	665
19	156	627
20	157	592
21	158	561
22	158	532
23	159	505
24	160	481
25	161	458
26	161	437
27	162	418
28	163	400
29	164	382
30	164	366
31	165	351
32	166	337
33	166	323
34	167	311
35	168	299
36	169	288
37	170	278
38	171	267
39	171	257
40	172	248
41	173	239
42	173	230
43	174	222
44	175	214
45	176	206
46	176	199
47	177	192
48	178	185
49	179	179
50	180	172
51	180	166
52	181	160
53	182	155
54	182	149
55	184	144
56	184	139
57	185	134
58	186	129
59	186	124
60	187	119
61	188	115
62	188	110
63	189	106
64	190	102
65	191	98
66	192	94
67	192	90
68	193	86
69	194	83
70	195	79
71	195	76
72	196	72
73	197	69
74	197	65
75	198	62
76	199	59
77	200	56
78	201	53
79	201	50
80	202	47
81	203	44
82	204	41
83	205	39
84	205	36
85	206	33
86	207	30
87	207	28
88	208	25
89	209	23
90	210	20
91	210	18
92	211	15
93	212	13
94	213	11
95	213	8
96	214	6
97	215	4
98	215	2
99	216	0
