iter	RMSE
0	11613.70261
1	11272.0847
2	10923.35419
3	10576.70997
4	10274.149
5	9969.76866
6	9693.821958
7	9407.973628
8	9148.459201
9	8883.459454
10	8659.819474
11	8437.601347
12	8214.877855
13	8008.782884
14	7815.548333
15	7617.776877
16	7448.753835
17	7272.13301
18	7112.366852
19	6966.841013
20	6823.081099
21	6672.291287
22	6533.066083
23	6398.481384
24	6276.838088
25	6162.350459
26	6053.617333
27	5954.902786
28	5867.268742
29	5773.614711
30	5699.810913
31	5623.570264
32	5546.177956
33	5481.251012
34	5426.402733
35	5362.018864
36	5303.486357
37	5247.9323
38	5197.632345
39	5143.544101
40	5094.971321
41	5043.114547
42	4999.19416
43	4959.791753
44	4918.689231
45	4877.067155
46	4846.079798
47	4810.369881
48	4777.972305
49	4751.421849
50	4723.703666
51	4699.768514
52	4673.023796
53	4650.57715
54	4626.304272
55	4602.705923
56	4582.502371
57	4566.264287
58	4547.364397
59	4529.889506
60	4510.56564
61	4495.918458
62	4482.711125
63	4468.941179
64	4456.791117
65	4445.004013
66	4433.49174
67	4422.25981
68	4411.580473
69	4403.721489
70	4391.625113
71	4382.669637
72	4372.324578
73	4367.747517
74	4357.438927
75	4352.259735
76	4343.361161
77	4336.333316
78	4329.722494
79	4323.325784
80	4319.364333
81	4313.034582
82	4308.818256
83	4303.524961
84	4297.127371
85	4289.780613
86	4286.097519
87	4279.51627
88	4273.679863
89	4269.352462
90	4265.228069
91	4259.134062
92	4251.956707
93	4247.978972
94	4244.375387
95	4238.605257
96	4235.100185
97	4230.550034
98	4227.034086
99	4223.834044
100	4220.247468
101	4214.383365
102	4209.813996
103	4205.139852
104	4202.430096
105	4199.355173
106	4196.48723
107	4196.002998
108	4191.567907
109	4186.735479
110	4184.633872
111	4180.3819
112	4178.490149
113	4175.600282
114	4172.925222
115	4169.600767
116	4164.836467
117	4160.059793
118	4156.449634
119	4155.592931
120	4151.697675
121	4149.063125
122	4146.165817
123	4143.892228
124	4140.894625
125	4137.453916
126	4133.951173
127	4130.179046
128	4128.104365
129	4125.555286
130	4122.403459
131	4120.347429
132	4117.449602
133	4115.456884
134	4111.866906
135	4108.366564
136	4105.965061
137	4103.089527
138	4101.202428
139	4098.50848
140	4094.445698
141	4093.703822
142	4090.496195
143	4087.940136
144	4084.346578
145	4082.440066
146	4081.074281
147	4079.517911
148	4076.217869
149	4073.971419
150	4072.328068
151	4068.40561
152	4063.990617
153	4062.090964
154	4059.777287
155	4058.133006
156	4053.325168
157	4050.945376
158	4048.304555
159	4044.22973
160	4040.608662
161	4038.132156
162	4036.40439
163	4033.927415
164	4031.383341
165	4029.486686
166	4025.74717
167	4023.022612
168	4021.652442
169	4017.992485
170	4014.202798
171	4012.616459
172	4009.402796
173	4007.804053
174	4004.459397
175	4002.399825
176	3999.763268
177	3997.920844
178	3995.583187
179	3992.401916
180	3990.185086
181	3986.576525
182	3984.68745
183	3983.566116
184	3980.773554
185	3976.708035
186	3975.004158
187	3973.320966
188	3972.77471
189	3969.470904
190	3965.657381
191	3962.024831
192	3960.848624
193	3959.740452
194	3958.21942
195	3955.91702
196	3953.491137
197	3948.966808
198	3947.320027
199	3945.404301
200	3941.743905
201	3938.24498
202	3936.170941
203	3932.764221
204	3929.627403
205	3928.092254
206	3925.047429
207	3921.812358
208	3919.361115
209	3916.640399
210	3915.624712
211	3913.341837
212	3908.714652
213	3906.102141
214	3902.178236
215	3899.887452
216	3899.147156
217	3897.977679
218	3895.067104
219	3892.908374
220	3891.891462
221	3891.130402
222	3888.686707
223	3886.595143
224	3883.245197
225	3881.669811
226	3880.388377
227	3879.162179
228	3878.03846
229	3877.414191
230	3874.679443
231	3872.227455
232	3867.90947
233	3866.73082
234	3865.966402
235	3863.391805
236	3861.925088
237	3860.754799
238	3860.076577
239	3858.387665
240	3856.821555
241	3856.591218
242	3853.179783
243	3849.200926
244	3848.643563
245	3845.642818
246	3841.710274
247	3839.901061
248	3838.346512
249	3837.702785
250	3837.29276
251	3833.655237
252	3831.411542
253	3829.931711
254	3829.705882
255	3828.637985
256	3826.893515
257	3825.998998
258	3824.341233
259	3821.277379
260	3819.757163
261	3817.74291
262	3815.456804
263	3814.905777
264	3814.469251
265	3812.669293
266	3809.005464
267	3807.701688
268	3806.582627
269	3804.63148
270	3801.783429
271	3798.963175
272	3797.732681
273	3793.703355
274	3790.988396
275	3790.526471
276	3790.034588
277	3786.496575
278	3783.19795
279	3779.20375
280	3777.554922
281	3775.574045
282	3774.694962
283	3773.13308
284	3771.5458
285	3769.895456
286	3766.21738
287	3762.387461
288	3761.005827
289	3759.032549
290	3755.636217
291	3754.929939
292	3753.629725
293	3752.034792
294	3749.727661
295	3748.241451
296	3747.077259
297	3744.655762
298	3743.681862
299	3741.661977
300	3741.219265
301	3738.728947
302	3737.782385
303	3737.380747
304	3735.959004
305	3733.130475
306	3731.443502
307	3730.092525
308	3728.945051
309	3727.063586
310	3725.418922
311	3723.242511
312	3721.206656
313	3718.081822
314	3715.482225
315	3712.475648
316	3709.976822
317	3707.41258
318	3705.204639
319	3703.02335
320	3700.894862
321	3697.668991
322	3697.29578
323	3695.7634
324	3694.454897
325	3693.890843
326	3690.33391
327	3688.120426
328	3684.804472
329	3682.40772
330	3681.500501
331	3678.371741
332	3677.222483
333	3676.344917
334	3673.752476
335	3671.831952
336	3671.493883
