iter	Passed	Remaining
0	57	57310
1	57	28869
2	58	19360
3	58	14601
4	59	11749
5	59	9926
6	60	8645
7	61	7612
8	61	6821
9	62	6157
10	62	5631
11	63	5226
12	63	4854
13	64	4516
14	64	4238
15	64	3996
16	65	3784
17	65	3593
18	66	3420
19	66	3263
20	67	3127
21	67	2999
22	67	2884
23	68	2778
24	68	2676
25	68	2580
26	69	2498
27	69	2419
28	70	2348
29	70	2291
30	71	2227
31	71	2165
32	72	2110
33	72	2057
34	72	2006
35	73	1961
36	73	1918
37	74	1878
38	75	1848
39	75	1817
40	76	1785
41	76	1750
42	77	1718
43	77	1684
44	77	1655
45	78	1630
46	78	1601
47	79	1575
48	79	1550
49	80	1527
50	80	1504
51	81	1480
52	81	1465
53	82	1448
54	83	1432
55	83	1413
56	84	1394
57	84	1375
58	85	1359
59	85	1344
60	86	1328
61	86	1314
62	87	1298
63	87	1281
64	88	1266
65	88	1251
66	89	1240
67	89	1227
68	90	1217
69	90	1203
70	91	1192
71	91	1179
72	91	1167
73	92	1152
74	92	1142
75	93	1132
76	93	1122
77	94	1111
78	94	1101
79	95	1093
80	95	1081
81	95	1071
82	95	1060
83	96	1051
84	96	1042
85	97	1034
86	97	1025
87	98	1017
88	98	1008
89	99	1001
90	99	993
91	99	986
92	100	979
93	100	972
94	101	965
95	101	958
96	102	951
97	102	945
98	103	938
99	103	932
100	104	926
101	104	921
102	105	915
103	105	908
104	105	902
105	106	896
106	106	890
107	106	883
108	107	877
109	107	872
110	108	867
111	108	862
112	109	857
113	109	852
114	110	848
115	110	842
116	111	838
117	111	833
118	111	829
119	112	822
120	112	817
121	113	813
122	113	808
123	113	803
124	114	799
125	114	795
126	115	790
127	115	786
128	115	782
129	116	778
130	116	774
131	117	770
132	117	766
133	117	762
134	118	758
135	118	754
136	119	751
137	119	747
138	120	743
139	120	739
140	120	735
141	121	731
142	121	728
143	121	724
144	122	720
145	122	717
146	122	713
147	123	710
148	123	706
149	124	703
150	124	699
151	124	696
152	125	694
153	125	690
154	126	687
155	126	684
156	126	681
157	127	678
158	127	675
159	128	673
160	128	670
161	129	667
162	129	664
163	129	661
164	130	658
165	130	655
166	130	652
167	131	649
168	131	646
169	131	643
170	132	640
171	132	638
172	133	636
173	133	633
174	133	630
175	134	627
176	134	625
177	134	622
178	135	620
179	135	618
180	136	615
181	136	613
182	136	610
183	137	608
184	137	605
185	137	603
186	138	600
187	138	598
188	138	595
189	139	593
190	139	591
191	139	588
192	140	586
193	140	584
194	141	582
195	141	580
196	141	577
197	142	576
198	142	573
199	142	571
200	143	569
201	143	567
202	143	564
203	144	562
204	144	560
205	145	559
206	145	557
207	145	554
208	146	553
209	146	551
210	146	549
211	147	547
212	147	545
213	147	543
214	148	541
215	148	539
216	149	537
217	149	536
218	149	534
219	150	532
220	150	530
221	150	529
222	151	527
223	151	525
224	152	523
225	152	522
226	152	520
227	153	518
228	153	516
229	153	515
230	154	513
231	154	512
232	155	510
233	155	509
234	155	507
235	156	505
236	156	503
237	156	502
238	157	500
239	157	498
240	157	497
241	157	494
242	158	493
243	158	491
244	159	490
245	159	488
246	159	486
247	160	485
248	160	483
249	160	482
250	161	480
251	161	479
252	161	477
253	162	476
254	162	474
255	162	473
256	163	471
257	163	470
258	164	469
259	164	468
260	164	467
261	165	465
262	165	464
263	166	462
264	166	461
265	166	459
266	167	458
267	167	457
268	167	455
269	168	455
270	168	453
271	169	452
272	169	450
273	169	449
274	170	448
275	170	447
276	170	446
277	171	445
278	171	443
279	172	442
280	172	441
281	172	439
282	173	438
283	173	437
284	173	436
285	174	435
286	174	434
287	175	432
288	175	431
289	175	430
290	176	429
291	176	427
292	176	426
293	177	425
294	177	424
295	178	423
296	178	422
297	178	421
298	179	420
299	179	419
300	180	418
301	180	417
302	180	415
303	181	414
304	181	414
305	182	412
306	182	411
307	182	410
308	183	409
309	183	408
310	183	407
311	184	406
312	184	405
313	184	404
314	185	402
315	185	402
316	186	401
317	186	399
318	186	398
319	187	397
320	187	396
321	187	395
322	188	394
323	188	393
324	188	392
325	189	391
326	189	390
327	190	389
328	190	388
329	191	387
330	191	386
331	191	385
332	192	384
333	192	383
334	192	382
335	193	381
336	193	380
337	193	379
338	194	378
339	194	377
340	194	376
341	195	375
342	195	374
343	196	373
344	196	372
345	196	372
346	197	371
347	197	370
348	198	369
349	198	368
350	198	367
351	199	366
352	199	365
353	199	364
354	200	363
355	200	362
356	200	361
357	201	360
358	201	359
359	201	358
360	202	357
361	202	356
362	202	356
363	203	355
364	203	354
365	203	353
366	204	352
367	204	351
368	205	350
369	205	349
370	205	348
371	206	348
372	206	347
373	206	346
374	207	345
375	207	344
376	208	343
377	208	343
378	208	342
379	209	341
380	209	340
381	209	339
382	210	338
383	210	337
384	210	336
385	211	335
386	211	334
387	211	334
388	212	333
389	212	332
390	213	331
391	213	331
392	213	330
393	214	329
394	214	328
395	215	328
396	215	327
397	215	326
398	216	325
399	216	324
400	217	324
401	217	323
402	217	322
403	218	321
404	218	320
405	218	320
406	219	319
407	219	318
408	219	317
409	220	316
410	220	316
411	221	316
412	222	315
413	222	315
414	223	314
415	223	313
416	223	312
417	224	311
418	224	311
419	224	310
420	225	309
421	225	308
422	225	308
423	226	307
424	226	306
425	227	305
426	227	305
427	227	304
428	228	303
429	228	303
430	228	302
431	229	301
432	229	300
433	230	300
434	230	299
435	230	298
436	231	297
437	231	297
438	232	296
439	232	295
440	232	295
441	233	294
442	233	293
443	233	292
444	234	292
445	234	291
446	234	290
447	235	289
448	236	289
449	236	289
450	237	288
451	237	287
452	237	287
453	238	286
454	238	285
455	238	285
456	239	284
457	239	283
458	240	282
459	240	282
460	240	281
461	241	280
462	241	280
463	241	279
464	242	278
465	242	278
466	243	277
467	243	276
468	243	276
469	244	275
470	244	274
471	244	273
472	245	273
473	245	272
474	245	271
475	246	271
476	246	270
477	246	269
478	247	269
479	247	268
480	248	267
481	248	267
482	249	266
483	249	265
484	249	265
485	250	264
486	250	263
487	250	263
488	251	262
489	251	261
490	251	261
491	252	260
492	252	259
493	252	259
494	253	258
495	253	257
496	254	257
497	254	256
498	254	255
