iter	RMSE
0	0.6835888351
1	0.5803254306
2	0.4994392252
3	0.4382207067
4	0.3898019312
5	0.3529795963
6	0.3234981174
7	0.3005963236
8	0.2823067962
9	0.2701208452
10	0.260069828
11	0.2515420607
12	0.2427181422
13	0.2373412868
14	0.2329809124
15	0.2299427876
16	0.2277186315
17	0.2251178313
18	0.2229784599
19	0.2209726003
20	0.2192889693
21	0.2166161613
22	0.2156876797
23	0.2142690517
24	0.2124793701
25	0.209983329
26	0.2081684909
27	0.2071577471
28	0.2061638498
29	0.2040286853
30	0.2030321049
31	0.2025919336
32	0.2019176097
33	0.2012015112
34	0.2006179764
35	0.1996156872
36	0.1985658888
37	0.1975540285
38	0.196686188
39	0.1960081686
40	0.1948873649
41	0.1945197102
42	0.1939517051
43	0.1926637445
44	0.1922516931
45	0.1915372684
46	0.1910445615
47	0.1899688763
48	0.1890629071
49	0.1881723726
50	0.1875299895
51	0.1869819098
52	0.1862994723
53	0.1857617943
54	0.1850093582
55	0.1846638491
56	0.1834801815
57	0.1827757092
58	0.1824921366
59	0.1818703872
60	0.1815114739
61	0.1809114976
62	0.1803175436
63	0.1795909254
64	0.1791757345
65	0.1786973561
66	0.1776416557
67	0.1771110768
68	0.1765152401
69	0.1756460298
70	0.1753849191
71	0.1748895068
72	0.1745078478
73	0.173591108
74	0.1727797792
75	0.1721357315
76	0.171660182
77	0.1711010378
78	0.1707549356
79	0.1701865212
80	0.1699530044
81	0.1692939897
82	0.169140832
83	0.168531199
84	0.1680975898
85	0.1676079331
86	0.1673413886
87	0.1667643747
88	0.1663546638
89	0.1660202446
90	0.1653848874
91	0.1650172591
92	0.1644171813
93	0.163966233
94	0.1638139554
95	0.1633572339
96	0.16297527
97	0.1627565666
98	0.1624742068
99	0.1622869394
100	0.1620200743
101	0.1613912468
102	0.1611832355
103	0.1608717699
104	0.160455993
105	0.1600668007
106	0.1597140301
107	0.1592608529
108	0.1589142368
109	0.1584284597
110	0.158248186
111	0.1578663235
112	0.1574208709
113	0.1568622203
114	0.1564299467
115	0.1559720813
116	0.1554378262
117	0.1550936394
118	0.1546404957
119	0.1543014026
120	0.1538983299
121	0.1536272043
122	0.1532176258
123	0.1529259299
124	0.1526126702
125	0.1523154042
126	0.1520521218
127	0.1516911546
128	0.1514178426
129	0.1512697653
130	0.1511907047
131	0.1506238848
132	0.150344467
133	0.1500429263
134	0.1497468075
135	0.1493095273
136	0.1487745738
137	0.1484606292
138	0.1482521606
139	0.1480325861
140	0.1477730544
141	0.1475019674
142	0.1471681025
143	0.1468129669
144	0.1466184876
145	0.1463041184
146	0.1461161628
147	0.1458161144
148	0.1456666034
149	0.1452523183
