iter	Passed	Remaining
0	166	24871
1	195	14471
2	221	10866
3	247	9024
4	263	7631
5	291	7004
6	317	6483
7	342	6080
8	365	5725
9	388	5443
10	427	5401
11	626	7206
12	768	8094
13	833	8095
14	872	7848
15	897	7516
16	924	7230
17	948	6954
18	972	6707
19	994	6465
20	1016	6243
21	1038	6042
22	1060	5856
23	1083	5687
24	1107	5535
25	1135	5416
26	1157	5275
27	1182	5151
28	1208	5041
29	1238	4955
30	1261	4841
31	1289	4755
32	1314	4660
33	1339	4570
34	1362	4476
35	1393	4412
36	1419	4334
37	1443	4255
38	1471	4187
39	1494	4108
40	1517	4034
41	1542	3965
42	1566	3897
43	1589	3828
44	1612	3762
45	1635	3696
46	1655	3627
47	1677	3563
48	1698	3501
49	1720	3440
50	1741	3379
51	1762	3321
52	1784	3265
53	1804	3208
54	1824	3152
55	1844	3096
56	1865	3043
57	1886	2992
58	1906	2940
59	1928	2893
60	1949	2844
61	1970	2796
62	1992	2751
63	2011	2703
64	2033	2659
65	2053	2613
66	2076	2572
67	2097	2529
68	2118	2486
69	2139	2444
70	2159	2402
71	2179	2361
72	2200	2320
73	2219	2279
74	2239	2239
75	2259	2200
76	2280	2161
77	2299	2122
78	2319	2085
79	2340	2047
80	2361	2011
81	2380	1974
82	2402	1939
83	2425	1905
84	2445	1869
85	2466	1835
86	2485	1800
87	2509	1768
88	2530	1734
89	2548	1699
90	2568	1664
91	2588	1631
92	2609	1599
93	2627	1565
94	2648	1533
95	2668	1501
96	2688	1468
97	2707	1436
98	2727	1404
99	2748	1374
100	2766	1342
101	2786	1311
102	2807	1280
103	2827	1250
104	2846	1219
105	2865	1189
106	2887	1160
107	2905	1130
108	2927	1100
109	2946	1071
110	2966	1042
111	2986	1013
112	3007	984
113	3025	955
114	3045	926
115	3065	898
116	3085	870
117	3103	841
118	3125	814
119	3144	786
120	3162	757
121	3182	730
122	3201	702
123	3220	675
124	3239	647
125	3260	620
126	3278	593
127	3297	566
128	3317	540
129	3338	513
130	3360	487
131	3381	461
132	3403	434
133	3422	408
134	3440	382
135	3461	356
136	3481	330
137	3500	304
138	3520	278
139	3540	252
140	3559	227
141	3578	201
142	3598	176
143	3618	150
144	3637	125
145	3659	100
146	3678	75
147	3698	49
148	3719	24
149	3738	0
