name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Maruti 800 AC,2007,70000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Maruti Wagon R LXI Minor,2007,50000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0
Datsun RediGO T Option,2017,46000,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,72Nm@ 4386rpm,5.0
Honda Amaze VX i-DTEC,2014,141000,Diesel,Individual,Manual,Second Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Maruti Alto LX BSIII,2007,125000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Tata Indigo Grand Petrol,2014,60000,Petrol,Individual,Manual,Second Owner,12.85 kmpl,1396 CC,99.6 bhp,124Nm@ 3500rpm,5.0
Hyundai Creta 1.6 VTVT S,2015,25000,Petrol,Individual,Manual,First Owner,15.29 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0
Tata Indigo Grand Petrol,2014,100000,Petrol,Individual,Manual,First Owner,12.85 kmpl,1396 CC,99.6 bhp,124Nm@ 3500rpm,5.0
Toyota Corolla Altis 1.8 VL CVT,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5.0
Maruti 800 AC,2007,70000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Maruti Wagon R LXI Minor,2007,50000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0
Hyundai Verna 1.6 SX,2012,100000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
Datsun RediGO T Option,2017,46000,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,72Nm@ 4386rpm,5.0
Honda Amaze VX i-DTEC,2014,141000,Diesel,Individual,Manual,Second Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Maruti Alto LX BSIII,2007,125000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Hyundai Xcent 1.2 Kappa S,2016,25000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
Tata Indigo Grand Petrol,2014,60000,Petrol,Individual,Manual,Second Owner,12.85 kmpl,1396 CC,99.6 bhp,124Nm@ 3500rpm,5.0
Hyundai Creta 1.6 VTVT S,2015,25000,Petrol,Individual,Manual,First Owner,15.29 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0
Tata Indigo Grand Petrol,2014,100000,Petrol,Individual,Manual,First Owner,12.85 kmpl,1396 CC,99.6 bhp,124Nm@ 3500rpm,5.0
Toyota Corolla Altis 1.8 VL CVT,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5.0
Maruti Ciaz VXi Plus,2015,24000,Petrol,Dealer,Manual,First Owner,20.73 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,5.0
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,33000,Diesel,Individual,Manual,Second Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7.0
Jaguar XF 2.2 Litre Luxury,2014,28000,Diesel,Dealer,Automatic,First Owner,16.36 kmpl,2179 CC,187.7 bhp,450Nm@ 2000rpm,5.0
Mercedes-Benz New C-Class 220 CDI AT,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5.0
Maruti Vitara Brezza ZDi Plus AMT,2018,4500,Diesel,Dealer,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Audi Q5 2.0 TDI,2011,175900,Diesel,Dealer,Automatic,First Owner,12.8 kmpl,1968 CC,167.6 bhp,350Nm@ 1750-2500rpm,5.0
Honda City V MT,2018,14500,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0
Tata Tigor 1.2 Revotron XT,2018,15000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
Audi A6 2.0 TDI  Design Edition,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,80000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7.0
Hyundai i10 Magna 1.1L,2014,60000,Petrol,Individual,Manual,Fourth & Above Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Audi Q7 35 TDI Quattro Premium,2009,78000,Diesel,Dealer,Automatic,Third Owner,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7.0
Mahindra Scorpio 1.99 S10,2014,50000,Diesel,Individual,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
Honda City i DTEC V,2014,74000,Diesel,Individual,Manual,Second Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Maruti Wagon R VXI BS IV with ABS,2014,64000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Maruti Wagon R VXI BS IV,2012,60000,Petrol,Individual,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Mahindra Scorpio LX,2009,120000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9.0
Hyundai Santro Xing GLS,2009,79000,Petrol,Individual,Manual,Third Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0
Hyundai Grand i10 1.2 Kappa Asta,2019,15000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
Maruti Alto LXi,2006,80000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Maruti Swift Dzire VDI Optional,2017,18500,Diesel,Dealer,Manual,First Owner,26.59 kmpl,1248 CC,0,190Nm@ 2000rpm,5.0
Maruti Eeco 5 Seater AC BSIV,2018,10200,Petrol,Dealer,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5.0
Hyundai i20 Sportz 1.4 CRDi,2018,29000,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,70000,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Honda City i DTEC VX,2014,90000,Diesel,Dealer,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Maruti Wagon R VXI BS IV,2013,80000,Petrol,Dealer,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Hyundai EON Magna Plus,2014,73300,Petrol,Dealer,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Toyota Etios GD,2014,92000,Diesel,Dealer,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0
Maruti Alto LXi,2009,66764,Petrol,Dealer,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Maruti Alto LXi,2009,100000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,350000,Diesel,Individual,Manual,Second Owner,14.8 kmpl,2499 CC,80 bhp,"19@ 1,800(kgm@ rpm)",7.0
Toyota Corolla Altis Diesel D4DG,2011,230000,Diesel,Individual,Manual,First Owner,21.43 kmpl,1364 CC,87.2 bhp,205Nm@ 1800-2800rpm,5.0
Hyundai EON Magna Plus,2018,31000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Toyota Innova 2.5 V Diesel 8-seater,2009,120000,Diesel,Individual,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
