iter	RMSE
0	8.260752904
1	7.683264066
2	7.16028237
3	6.680664639
4	6.261421919
5	5.87774814
6	5.503604632
7	5.216916145
8	4.9232702
9	4.674082944
10	4.455218889
11	4.239683434
12	4.051517936
13	3.895268573
14	3.752692942
15	3.594289348
16	3.502905513
17	3.374026274
18	3.28078545
19	3.184069539
20	3.114473592
21	3.02933155
22	2.963883128
23	2.907205795
24	2.851568342
25	2.812837114
26	2.76571444
27	2.730544185
28	2.698801562
29	2.669611369
30	2.629625878
31	2.597267358
32	2.568361794
33	2.536894161
34	2.507528568
35	2.486476648
36	2.47309651
37	2.450630862
38	2.43127094
39	2.418879127
40	2.406884216
41	2.389985196
42	2.37225922
43	2.365168569
44	2.350164055
45	2.337017134
46	2.312507285
47	2.295290639
48	2.281212693
49	2.273828933
50	2.265069918
51	2.255028683
52	2.246133508
53	2.224431599
54	2.204225142
55	2.197125505
56	2.190853269
57	2.185799249
58	2.180410345
59	2.172798672
60	2.155457667
61	2.146683992
62	2.137239832
63	2.124356784
64	2.109418636
65	2.099922069
66	2.094284194
67	2.086261327
68	2.079550342
69	2.072656093
70	2.06135594
71	2.051687141
72	2.039123109
73	2.033043015
74	2.021178522
75	2.016717664
76	2.008034381
77	1.999374721
78	1.993304208
79	1.981272479
80	1.974438914
81	1.970610768
82	1.964706008
83	1.952545641
84	1.949672503
85	1.944159551
86	1.935798039
87	1.925664195
88	1.917501913
89	1.909195024
90	1.897068358
91	1.885660196
92	1.875796347
93	1.868812368
94	1.860554359
95	1.849932157
96	1.84882032
97	1.84267795
98	1.841098076
99	1.834808604
