iter	RMSE
0	13.57328252
1	13.24325378
2	12.9255814
3	12.6111752
4	12.30547556
5	12.02650523
6	11.73463517
7	11.45514371
8	11.19872709
9	10.92646084
10	10.65991593
11	10.41847467
12	10.19111848
13	9.948654862
14	9.711448209
15	9.497637202
16	9.292537569
17	9.078082623
18	8.882084248
19	8.685863983
20	8.49798682
21	8.311502526
22	8.141522462
23	7.958575129
24	7.787162906
25	7.623798998
26	7.476419234
27	7.320253411
28	7.163475285
29	7.012788639
30	6.881084835
31	6.740193114
32	6.599346097
33	6.470709207
34	6.341937002
35	6.215608427
36	6.095007432
37	5.972937047
38	5.868063775
39	5.756365691
40	5.653810172
41	5.546811331
42	5.456619235
43	5.358838118
44	5.265979182
45	5.173537663
46	5.090866353
47	5.013666079
48	4.931184434
49	4.852403537
50	4.77244929
51	4.69723112
52	4.629568138
53	4.564520468
54	4.500670929
55	4.432945747
56	4.368043582
57	4.305688286
58	4.248848107
59	4.197520255
60	4.146726093
61	4.095899996
62	4.04725536
63	3.995850176
64	3.950415597
65	3.905517264
66	3.864289904
67	3.823891628
68	3.784163409
69	3.74261023
70	3.708653896
71	3.672900976
72	3.638236511
73	3.607629277
74	3.582455112
75	3.549554856
76	3.519379857
77	3.492907325
78	3.466500985
79	3.437901781
80	3.415038151
81	3.391793085
82	3.36763754
83	3.34845138
84	3.326512633
85	3.304705568
86	3.283237622
87	3.265367687
88	3.246139975
89	3.230549936
90	3.216666299
91	3.200974573
92	3.186552573
93	3.17059792
94	3.157521818
95	3.142875472
96	3.127510059
97	3.113314259
98	3.101111985
99	3.089693492
100	3.079763246
101	3.068882664
102	3.058530686
103	3.048702184
104	3.037619321
105	3.030519951
106	3.021487151
107	3.012484625
108	3.004358286
109	2.996534949
110	2.987942265
111	2.97959934
112	2.97301355
113	2.96670779
114	2.960022028
115	2.953273466
116	2.946829354
117	2.942407529
118	2.937164644
119	2.932119489
120	2.928211216
121	2.924069161
122	2.918826941
123	2.91376706
124	2.909755808
125	2.906106326
126	2.902757616
127	2.898166103
128	2.894865885
129	2.891226456
130	2.887462362
131	2.884148008
132	2.881360262
133	2.877292367
134	2.873934277
135	2.871126764
136	2.868542469
137	2.86541052
138	2.863118635
139	2.860714708
140	2.858070253
141	2.856085146
142	2.853834215
143	2.852235294
144	2.850348611
145	2.848963015
146	2.847110379
147	2.845073064
148	2.843018954
149	2.841577225
150	2.8396693
151	2.837613835
152	2.836159599
153	2.834576465
154	2.832914646
155	2.831465833
156	2.83064028
157	2.828966228
158	2.827972206
159	2.826776102
160	2.825581642
161	2.824575122
162	2.823345134
163	2.822425179
164	2.821424769
165	2.820114795
166	2.819252045
167	2.818092965
168	2.817366906
169	2.816059411
170	2.815281185
171	2.814479543
172	2.813629034
173	2.812931705
174	2.812301376
175	2.811350259
176	2.810640187
177	2.809803292
178	2.809226854
179	2.808468116
180	2.808058474
181	2.807383532
182	2.806929029
183	2.806084052
184	2.805238831
185	2.804639574
186	2.804010532
187	2.803455356
188	2.803043239
189	2.802498041
190	2.801732113
191	2.801092544
192	2.800538794
193	2.799585422
194	2.799437428
195	2.798927882
196	2.798115911
197	2.797578209
198	2.796841456
199	2.796207511
200	2.795751385
201	2.79526585
202	2.794957067
203	2.794630143
204	2.793817251
205	2.793427621
206	2.793063707
207	2.792567506
208	2.792363791
209	2.791923794
210	2.791494142
211	2.791193289
212	2.790787432
213	2.79008312
214	2.789885431
215	2.789377199
216	2.788710205
217	2.788179711
218	2.788022271
219	2.787671969
220	2.787290703
221	2.786743307
222	2.786379055
223	2.785947157
224	2.785427276
225	2.784890716
226	2.784478873
227	2.784013959
228	2.783527838
229	2.783121472
